Title,Note,URL,Tags,Comment
EtnaCoffee,,https://www.google.com/maps/place/EtnaCoffee/data=!4m2!3m1!1s0x48761acc3568a887:0xd532768aefad53d2,,
Dave's Hot Chicken,,https://www.google.com/maps/place/Dave's+Hot+Chicken/data=!4m2!3m1!1s0x4876059658cf5ecd:0x994eafd218344832,,
01 Adana Restaurant,,https://www.google.com/maps/place/01+Adana+Restaurant/data=!4m2!3m1!1s0x48761c86bd41919b:0x9f390ed569cb732f,,
The Best Turkish Kebab,,https://www.google.com/maps/place/The+Best+Turkish+Kebab/data=!4m2!3m1!1s0x48761c8a6b99f473:0x8a44cb7ae9bb2409,,
BKC - Biryani Kebab Chai - Soho,,https://www.google.com/maps/place/BKC+-+Biryani+Kebab+Chai+-+Soho/data=!4m2!3m1!1s0x487604d2970b9751:0x3334681a7f8bdd0c,,
Labour and Wait,,https://www.google.com/maps/place/Labour+and+Wait/data=!4m2!3m1!1s0x48761cb79af93cdb:0xc91c6aeec478eb2f,,
Morleys Fried Chicken Southwark,,https://www.google.com/maps/place/Morleys+Fried+Chicken+Southwark/data=!4m2!3m1!1s0x4876035eee6edb5b:0x25339931481f4deb,,
Pho Ta Vietnamese Finchley Road,,https://www.google.com/maps/place/Pho+Ta+Vietnamese+Finchley+Road/data=!4m2!3m1!1s0x48761b5fada51855:0xbbcd7cad352a0021,,
Burger and Beyond Shoreditch,,https://www.google.com/maps/place/Burger+and+Beyond+Shoreditch/data=!4m2!3m1!1s0x48761dbed0d2784d:0xdd1ddc46604d29d9,,
Joyau,,https://www.google.com/maps/place/Joyau/data=!4m2!3m1!1s0x47d8a78d3e13553d:0x8d66fb0ed1a835b4,,
Hector's,,https://www.google.com/maps/place/Hector's/data=!4m2!3m1!1s0x48761d4b96169589:0xc1a643c98be5b1a7,,
Miga,,https://www.google.com/maps/place/Miga/data=!4m2!3m1!1s0x48761d00378845b5:0xa11dc3975c479366,,
Passione Vino,,https://www.google.com/maps/place/Passione+Vino/data=!4m2!3m1!1s0x48761caff003d959:0xeb2f32a7b9228ad7,,
manteca,,https://www.google.com/maps/place/manteca/data=!4m2!3m1!1s0x487605af3a2cdb1b:0xa231cb4af8b93b19,,
Toulouse Lautrec,Jazz restaurant,https://www.google.com/maps/place/Toulouse+Lautrec/data=!4m2!3m1!1s0x48760499b271cdb5:0xb161db3dd73b885b,,
Wright Brothers Battersea Power Station,£1 oysters at certain times ,https://www.google.com/maps/place/Wright+Brothers+Battersea+Power+Station/data=!4m2!3m1!1s0x4876050354a4a9b5:0x26f3fc2195d25ae0,,
Brilliant Corners,,https://www.google.com/maps/place/Brilliant+Corners/data=!4m2!3m1!1s0x48761c93d08f9a1b:0xb19fa8dd3a12ae54,,
The Fiddler's Elbow - Music Venue,,https://www.google.com/maps/place/The+Fiddler's+Elbow+-+Music+Venue/data=!4m2!3m1!1s0x48761ae5311342dd:0xac27640be53e5f98,,
Vinyl Pimp (Appointment Only),,https://www.google.com/maps/place/Vinyl+Pimp+(Appointment+Only)/data=!4m2!3m1!1s0x48761d12fe34556f:0x54832bc2f04a3176,,
Portena Shop,Steak sandwich ,https://www.google.com/maps/place/Portena+Shop/data=!4m2!3m1!1s0x48760343f1ec1411:0x55341e9b00e63210,,
